Time,Value
-2.2591311E-02,1.720584E-02
-2.2589311E-02,2.034106E-02
-2.2587311E-02,1.16089E-03
-2.2585311E-02,5.69247E-03
-2.2583311E-02,2.015664E-02
-2.2581311E-02,6.85171E-03
-2.2579311E-02,1.154137E-02
-2.2577311E-02,9.32827E-03
-2.2575311E-02,1.138329E-02
-2.2573311E-02,3.76918E-03
-2.2571311E-02,3.7050E-04
-2.2569311E-02,5.66612E-03
-2.2567311E-02,5.434E-05
-2.2565311E-02,8.72230E-03
-2.2563311E-02,-4.52993E-03
-2.2561311E-02,7.58941E-03
-2.2559311E-02,1.723219E-02
-2.2557311E-02,7.93191E-03
-2.2555311E-02,1.578314E-02
-2.2553311E-02,6.27209E-03
-2.2551311E-02,2.247512E-02
-2.2549311E-02,4.2319E-04
-2.2547311E-02,-7.8875E-04
-2.2545311E-02,8.88038E-03
-2.2543311E-02,6.11401E-03
-2.2541311E-02,7.72114E-03
-2.2539311E-02,2.26744E-03
-2.2537311E-02,8.98577E-03
-2.2535311E-02,1.778546E-02
-2.2533311E-02,-4.63532E-03
-2.2531311E-02,-2.60665E-03
-2.2529311E-02,6.11401E-03
-2.2527311E-02,-4.9893E-04
-2.2525311E-02,1.014501E-02
-2.2523311E-02,9.30192E-03
-2.2521311E-02,-4.24012E-03
-2.2519311E-02,4.21707E-03
-2.2517311E-02,7.6569E-04
-2.2515311E-02,1.175214E-02
-2.2513311E-02,4.42784E-03
-2.2511311E-02,-4.13474E-03
-2.2509311E-02,6.87806E-03
-2.2507311E-02,-9.95729E-03
-2.2505311E-02,1.480832E-02
-2.2503311E-02,8.30076E-03
-2.2501311E-02,1.63512E-03
-2.2499311E-02,6.45651E-03
-2.2497311E-02,1.00281E-03
-2.2495311E-02,-1.185423E-02
-2.2493311E-02,7.19421E-03
-2.2491311E-02,6.45651E-03
-2.2489311E-02,6.48286E-03
-2.2487311E-02,7.6569E-04
-2.2485311E-02,1.075098E-02
-2.2483311E-02,9.82885E-03
-2.2481311E-02,-5.71552E-03
-2.2479311E-02,7.82653E-03
-2.2477311E-02,1.146233E-02
-2.2475311E-02,1.839143E-02
-2.2473311E-02,1.014501E-02
-2.2471311E-02,-3.63416E-03
-2.2469311E-02,3.76918E-03
-2.2467311E-02,1.63512E-03
-2.2465311E-02,1.025039E-02
-2.2463311E-02,-4.66167E-03
-2.2461311E-02,1.517717E-02
-2.2459311E-02,-3.6720E-04
-2.2457311E-02,-4.34551E-03
-2.2455311E-02,3.1780E-04
-2.2453311E-02,4.24342E-03
-2.2451311E-02,8.08999E-03
-2.2449311E-02,-7.00649E-03
-2.2447311E-02,8.66961E-03
-2.2445311E-02,3.390946E-02
-2.2443311E-02,-1.045787E-02
-2.2441311E-02,1.673161E-02
-2.2439311E-02,9.74981E-03
-2.2437311E-02,4.21707E-03
-2.2435311E-02,4.82304E-03
-2.2433311E-02,1.623103E-02
-2.2431311E-02,9.90789E-03
-2.2429311E-02,1.080367E-02
-2.2427311E-02,7.1300E-04
-2.2425311E-02,1.833874E-02
-2.2423311E-02,3.05783E-03
-2.2421311E-02,-5.13590E-03
-2.2419311E-02,2.55725E-03
-2.2417311E-02,2.76802E-03
-2.2415311E-02,5.92959E-03
-2.2413311E-02,-3.73954E-03
-2.2411311E-02,-1.722889E-02
-2.2409311E-02,-1.116922E-02
-2.2407311E-02,1.565140E-02
-2.2405311E-02,2.63629E-03
-2.2403311E-02,2.21474E-03
-2.2401311E-02,1.114617E-02
-2.2399311E-02,2.799E-05
-2.2397311E-02,-5.105E-05
-2.2395311E-02,-7.3605E-04
-2.2393311E-02,2.255416E-02
-2.2391311E-02,7.03613E-03
-2.2389311E-02,6.50921E-03
-2.2387311E-02,-1.81625E-03
-2.2385311E-02,5.92959E-03
-2.2383311E-02,1.051386E-02
-2.2381311E-02,1.26627E-03
-2.2379311E-02,1.370177E-02
-2.2377311E-02,1.528256E-02
-2.2375311E-02,1.18723E-03
-2.2373311E-02,2.84706E-03
-2.2371311E-02,1.733757E-02
-2.2369311E-02,1.691603E-02
-2.2367311E-02,7.85287E-03
-2.2365311E-02,7.98460E-03
-2.2363311E-02,-3.9355E-04
-2.2361311E-02,1.804893E-02
-2.2359311E-02,7.90556E-03
-2.2357311E-02,-9.56209E-03
-2.2355311E-02,2.76802E-03
-2.2353311E-02,2.468822E-02
-2.2351311E-02,1.29262E-03
-2.2349311E-02,1.470293E-02
-2.2347311E-02,2.474091E-02
-2.2345311E-02,3.00514E-03
-2.2343311E-02,7.53672E-03
-2.2341311E-02,1.704776E-02
-2.2339311E-02,-7.00649E-03
-2.2337311E-02,9.30192E-03
-2.2335311E-02,1.093540E-02
-2.2333311E-02,3.55841E-03
-2.2331311E-02,2.26744E-03
-2.2329311E-02,-5.03051E-03
-2.2327311E-02,1.649449E-02
-2.2325311E-02,1.191022E-02
-2.2323311E-02,2.168473E-02
-2.2321311E-02,2.829767E-02
-2.2319311E-02,2.50455E-03
-2.2317311E-02,2.252781E-02
-2.2315311E-02,-7.37534E-03
-2.2313311E-02,1.538794E-02
-2.2311311E-02,-1.066864E-02
-2.2309311E-02,1.209464E-02
-2.2307311E-02,7.32594E-03
-2.2305311E-02,2.121049E-02
-2.2303311E-02,8.16903E-03
-2.2301311E-02,1.0703E-04
-2.2299311E-02,-2.47491E-03
-2.2297311E-02,1.090905E-02
-2.2295311E-02,-9.66748E-03
-2.2293311E-02,-1.825640E-02
-2.2291311E-02,2.34648E-03
-2.2289311E-02,8.82769E-03
-2.2287311E-02,1.409697E-02
-2.2285311E-02,-2.55395E-03
-2.2283311E-02,8.30076E-03
-2.2281311E-02,-1.043153E-02
-2.2279311E-02,2.028837E-02
-2.2277311E-02,6.14036E-03
-2.2275311E-02,1.248984E-02
-2.2273311E-02,1.657353E-02
-2.2271311E-02,-5.105E-05
-2.2269311E-02,6.71998E-03
-2.2267311E-02,1.064559E-02
-2.2265311E-02,7.29960E-03
-2.2263311E-02,8.74865E-03
-2.2261311E-02,1.367542E-02
-2.2259311E-02,9.74981E-03
-2.2257311E-02,1.077732E-02
-2.2255311E-02,2.081530E-02
-2.2253311E-02,8.88038E-03
-2.2251311E-02,1.277965E-02
-2.2249311E-02,7.61575E-03
-2.2247311E-02,2.395052E-02
-2.2245311E-02,-1.182788E-02
-2.2243311E-02,2.645343E-02
-2.2241311E-02,-3.15992E-03
-2.2239311E-02,1.92493E-03
-2.2237311E-02,1.76686E-03
-2.2235311E-02,5.48170E-03
-2.2233311E-02,9.17019E-03
-2.2231311E-02,-2.89646E-03
-2.2229311E-02,2.9146E-04
-2.2227311E-02,1.773277E-02
-2.2225311E-02,3.16321E-03
-2.2223311E-02,1.085636E-02
-2.2221311E-02,2.092068E-02
-2.2219311E-02,2.097338E-02
-2.2217311E-02,1.37166E-03
-2.2215311E-02,1.270061E-02
-2.2213311E-02,5.21823E-03
-2.2211311E-02,-3.68685E-03
-2.2209311E-02,-1.095845E-02
-2.2207311E-02,7.48402E-03
-2.2205311E-02,9.80251E-03
-2.2203311E-02,2.068357E-02
-2.2201311E-02,1.841778E-02
-2.2199311E-02,4.66496E-03
-2.2197311E-02,5.85055E-03
-2.2195311E-02,9.80251E-03
-2.2193311E-02,8.69596E-03
-2.2191311E-02,8.53788E-03
-2.2189311E-02,4.26976E-03
-2.2187311E-02,7.6569E-04
-2.2185311E-02,-3.47608E-03
-2.2183311E-02,1.923451E-02
-2.2181311E-02,5.48170E-03
-2.2179311E-02,1.433408E-02
-2.2177311E-02,4.40149E-03
-2.2175311E-02,1.599391E-02
-2.2173311E-02,7.61575E-03
-2.2171311E-02,1.8607E-04
-2.2169311E-02,8.61692E-03
-2.2167311E-02,1.58243E-03
-2.2165311E-02,-1.261828E-02
-2.2163311E-02,-7.8875E-04
-2.2161311E-02,1.357004E-02
-2.2159311E-02,1.096175E-02
-2.2157311E-02,5.08650E-03
-2.2155311E-02,2.84706E-03
-2.2153311E-02,2.39917E-03
-2.2151311E-02,-6.0432E-04
-2.2149311E-02,3.95361E-03
-2.2147311E-02,-1.36837E-03
-2.2145311E-02,2.553130E-02
-2.2143311E-02,8.64326E-03
-2.2141311E-02,6.98344E-03
-2.2139311E-02,1.783816E-02
-2.2137311E-02,1.494005E-02
-2.2135311E-02,1.760104E-02
-2.2133311E-02,3.87457E-03
-2.2131311E-02,3.4415E-04
-2.2129311E-02,-1.07856E-03
-2.2127311E-02,2.24109E-03
-2.2125311E-02,5.82420E-03
-2.2123311E-02,-1.07856E-03
-2.2121311E-02,5.85055E-03
-2.2119311E-02,1.95128E-03
-2.2117311E-02,1.696872E-02
